State,census_bureau_region,census_bureau_division,standard_federal_region,circiut_court_of_appeals,bureau_economic_analysys,,,
Alabama,South,East South Central,4,11,Southeast,,,
Alaska,West,Pacific,10,9,Far West,,,
Arizona,West,Mountain,9,9,Southwest,,,
Arkansas,South,West South Central,6,8,Southeast,,,
California,West,Pacific,9,9,Far West,,,
Colorado,West,Mountain,8,10,Rocky Mountain,,,
Connecticut,Northeast,New England,1,2,New England,,,
Delaware,South,South Atlantic,3,3,Mideast,,,
District of Columnia,South,South Atlantic,3,DC,Mideast,,,
Florida,South,South Atlantic,4,11,Southeast,,,
Georgia,South,South Atlantic,4,11,Southeast,,,
Hawaii,West ,Pacific,9,9,Far West,,,
Idaho,West,Mountain,10,9,Rocky Mountain,,,
Illinois,Midwest,East North Central,5,7,Great Lakes,,,
Indiana,Midwest,East North Central,5,7,Great Lakes,,,
Iowa,Midwest,West North Central,7,8,Plains,,,
Kansas,Midwest,West North Central,7,10,Plains,,,
Kentucky,South,East South Central,4,6,Southeast,,,
Louisiana,South,West South Central,6,5,Southeast,,,
Maine,Northeast,New England,1,1,New England,,,
Maryland,South,South Atlantic,3,4,Mideast,,,
Massachusetts,Northeast,New England,1,1,New England,,,
Michigan,Midwest,East North Central,5,6,Great Lakes,,,
Minnesota,Midwest,West North Central,5,8,Plains,,,
Mississippi,South,East South Central,4,5,Southeast,,,
Missouri,Midwest,West North Central,7,8,Plains,,,
Montana,West,Mountain,8,9,Rocky Mountain,,,
Nebraska,Midwest,West North Central,7,8,Plains,,,
Nevada,West,Mountain,9,9,Far West,,,
New Hampshire,Northeast,New England,1,1,New England,,,
New Jersey,Northeast,Mid-Atlantic,2,3,Mideast,,,
New Mexico,West,Mountain,6,10,Southwest,,,
New York,Northeast,Mid-Atlantic,2,2,Mideast,,,
North Carolina,South,South Atlantic,4,4,Southeast,,,
North Dakota,Midwest,West North Central,8,8,Plains,,,
Ohio,Midwest,East North Central,5,6,Great Lakes,,,
Oklahoma,South,West South Central,6,10,Southwest,,,
Oregon,West ,Pacific,10,9,Far West,,,
Pennsylvania,Northeast,Mid-Atlantic,3,3,Mideast,,,
Rhode Island,Northeast,New England,1,1,New England,,,
South Carolina,South,South Atlantic,4,4,Southeast,,,
South Dakota,Midwest,West North Central,8,8,Plains,,,
Tennessee,South,East South Central,4,6,Southeast,,,
Texas,South,West South Central,6,5,Southwest,,,
Utah,West,Mountain,8,10,Rocky Mountain,,,
Vermont,Northeast,New England,1,2,New England,,,
Virginia,South,South Atlantic,3,4,Southeast,,,
Washington,West ,Pacific ,10,9,Far West,,,
West Virginia,South,South Atlantic,3,4,Southeast,,,
Wisconsin,Midwest,East North Central,5,7,Great Lakes,,,
Wyoming,West ,Mountain,8,10,Rocky Mountain,,,